Time,profile_1,profile_2,profile_3
00:00:00,0.0,0.0,0.0
00:30:00,0.0,0.0,0.0
01:00:00,0.0,0.0,0.0
01:30:00,0.0,0.0,0.0
02:00:00,0.0,0.0,0.0
02:30:00,0.0,0.0,0.0
03:00:00,0.0,0.0,0.0
03:30:00,0.0,0.0,0.0
04:00:00,0.0,0.0,0.0
04:30:00,0.0,0.0,0.0
05:00:00,0.0,0.0,0.0
05:30:00,0.0,0.0,0.0
06:00:00,0.0,0.0,0.0
06:30:00,0.0,0.0,0.0
07:00:00,0.0,0.0,0.0
07:30:00,0.0,0.0,0.0
08:00:00,0.0,0.0,0.0
08:30:00,0.0,0.0,0.0
09:00:00,0.0,0.0,0.0
09:30:00,0.0,0.0,0.0
10:00:00,0.0,0.0,0.0
10:30:00,0.0,0.0,0.0
11:00:00,0.0,0.0,0.0
11:30:00,0.0,0.0,0.0
12:00:00,0.0,0.0,0.0
12:30:00,0.0,0.0,0.0
13:00:00,0.0,0.0,0.0
13:30:00,0.0,0.0,0.0
14:00:00,0.0,0.0,0.0
14:30:00,0.0,0.0,0.0
15:00:00,0.0,0.0,0.0
15:30:00,0.0,0.0,0.0
16:00:00,0.0,0.0,0.0
16:30:00,0.0,0.0,0.0
17:00:00,0.0,0.0,0.0
17:30:00,0.0,0.0,0.0
18:00:00,0.0,0.0,0.0
18:30:00,0.0,0.0,0.0
19:00:00,0.0,0.0,0.0
19:30:00,0.0,0.0,0.0
20:00:00,0.0,0.0,0.0
20:30:00,0.0,0.0,0.0
21:00:00,0.0,0.0,0.0
21:30:00,0.0,0.0,0.0
22:00:00,0.0,0.0,0.0
22:30:00,0.0,0.0,0.0
23:00:00,0.0,0.0,0.0
23:30:00,0.0,0.0,0.0
